unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.60894E+12,2020-12-26,BNB/USDT,33.1996,34.0495,32.51,33.6361,2418941.544,80768632.44,280678,33.27975
1.60903E+12,2020-12-27,BNB/USDT,33.651,34.99,31.8601,33.674,3747872.718,126569474.2,383603,33.42505
1.60911E+12,2020-12-28,BNB/USDT,33.6741,36.15,33.3105,35.951,4121783.103,145163638,365388,34.73025
1.6092E+12,2020-12-29,BNB/USDT,35.9507,39.9999,35.3015,39.0667,7022548.487,266651443.8,626216,37.6507
1.60929E+12,2020-12-30,BNB/USDT,39.0746,39.27,36.8131,38.1558,2424623.467,91497596.04,318773,38.04155
1.60937E+12,2020-12-31,BNB/USDT,38.1558,38.2133,36.5157,37.3588,1887715.835,70486125.96,215191,37.3645
1.60946E+12,2021-01-01,BNB/USDT,37.3596,38.959,36.9555,37.7762,2435989.127,92358608.11,287020,37.95725
1.60955E+12,2021-01-02,BNB/USDT,37.7637,38.8798,36.8,38.2331,3018062.206,114060050.8,342120,37.8399
1.60963E+12,2021-01-03,BNB/USDT,38.2331,41.7017,37.763,41.2575,4903626.697,195224916.8,499815,39.73235
1.60972E+12,2021-01-04,BNB/USDT,41.256,43.2039,38.02,41.1333,5306248.166,214835112.1,546562,40.61195
1.6098E+12,2021-01-05,BNB/USDT,41.13,41.8375,38.8014,41.8219,3513141.346,141831732,410985,40.31945
1.60989E+12,2021-01-06,BNB/USDT,41.8271,42.267,40.4531,42.2417,3784444.687,156404649.3,417519,41.36005
1.60998E+12,2021-01-07,BNB/USDT,42.244,44.9,41.366,43.5728,5026746.669,216717611.8,523288,43.133
1.61006E+12,2021-01-08,BNB/USDT,43.5728,43.722,40.2313,42.356,3548923.788,149951576.9,411558,41.97665
1.61015E+12,2021-01-09,BNB/USDT,42.345,44.0552,41.5,43.8479,2720363.636,116290473.5,294683,42.7776
1.61024E+12,2021-01-10,BNB/USDT,43.8479,45.162,40,42.4031,4277406.29,185165251.1,431771,42.581
1.61032E+12,2021-01-11,BNB/USDT,42.4033,42.5094,35.0374,38.1674,6332801.055,243017348,664128,38.7734
1.61041E+12,2021-01-12,BNB/USDT,38.1623,40.1989,37,38.2541,3261261.81,125897888,342953,38.59945
1.6105E+12,2021-01-13,BNB/USDT,38.2703,40.4499,37.02,40.1114,3512089.385,135791180.1,366040,38.73495
1.61058E+12,2021-01-14,BNB/USDT,40.1114,42,39.5739,41.8723,3306689.933,135085613.3,306640,40.78695
1.61067E+12,2021-01-15,BNB/USDT,41.8721,42.5622,38.6616,40.8668,3431358.936,140633163.6,363002,40.6119
